id,ras_name,start,end
0,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_703.tif,20180919T231415,20180919T231440
1,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_94.tif,20180919T231415,20180919T231440
2,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1848.tif,20180919T231415,20180919T231440
3,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_362.tif,20180919T231415,20180919T231440
4,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_414.tif,20180919T231415,20180919T231440
5,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_866.tif,20180919T231415,20180919T231440
6,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_45.tif,20180919T231415,20180919T231440
7,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1675.tif,20180919T231415,20180919T231440
8,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1214.tif,20180919T231415,20180919T231440
9,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1562.tif,20180919T231415,20180919T231440
10,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1103.tif,20180919T231415,20180919T231440
11,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1834.tif,20180919T231415,20180919T231440
12,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1446.tif,20180919T231415,20180919T231440
13,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1027.tif,20180919T231415,20180919T231440
14,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1780.tif,20180919T231415,20180919T231440
15,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_468.tif,20180919T231415,20180919T231440
16,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1751.tif,20180919T231415,20180919T231440
17,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_39.tif,20180919T231415,20180919T231440
18,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1497.tif,20180919T231415,20180919T231440
19,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1330.tif,20180919T231415,20180919T231440
20,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1609.tif,20180919T231415,20180919T231440
21,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_297.tif,20180919T231415,20180919T231440
22,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_942.tif,20180919T231415,20180919T231440
23,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_530.tif,20180919T231415,20180919T231440
24,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1268.tif,20180919T231415,20180919T231440
25,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_151.tif,20180919T231415,20180919T231440
26,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_627.tif,20180919T231415,20180919T231440
27,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_180.tif,20180919T231415,20180919T231440
28,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_246.tif,20180919T231415,20180919T231440
29,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_993.tif,20180919T231415,20180919T231440
30,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1441.tif,20180919T231415,20180919T231440
31,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1833.tif,20180919T231415,20180919T231440
32,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_778.tif,20180919T231415,20180919T231440
33,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1787.tif,20180919T231415,20180919T231440
34,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1020.tif,20180919T231415,20180919T231440
35,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_319.tif,20180919T231415,20180919T231440
36,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1756.tif,20180919T231415,20180919T231440
37,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_8.tif,20180919T231415,20180919T231440
38,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1337.tif,20180919T231415,20180919T231440
39,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_1490.tif,20180919T231415,20180919T231440
40,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_537.tif,20180919T231415,20180919T231440
41,flood_WM_S1A_IW_GRDH_1SDV_20180919T231415_20180919T231440_023774_0297CC_374E_crop_945.tif,20180919T231415,20180919T231440
